,Anchorage,Fairbanks North Star Borough,Ketchikan Gateway Borough,Kenai Peninsula Borough,Juneau City and Borough,Matanuska-Susitna Borough,Unknown,Yukon-Koyukuk Census Area,Southeast Fairbanks Census Area,Petersburg Borough,Bethel Census Area,Prince of Wales-Hyder Census Area,Nome Census Area,Kodiak Island Borough,Sitka City and Borough
2020-03-12,0,,,,,,,,,,,,,,
2020-03-13,0,,,,,,,,,,,,,,
2020-03-14,0,,,,,,,,,,,,,,
2020-03-15,0,,,,,,,,,,,,,,
2020-03-16,0,0,,,,,,,,,,,,,
2020-03-17,0,0,0,,,,,,,,,,,,
2020-03-18,0,0,0,0,,,,,,,,,,,
2020-03-19,0,0,0,0,,,,,,,,,,,
2020-03-20,0,0,0,0,,,,,,,,,,,
2020-03-21,0,0,0,0,,,,,,,,,,,
2020-03-22,0,0,0,0,,,,,,,,,,,
2020-03-23,0,0,0,0,0,0,,,,,,,,,
2020-03-24,0,0,0,0,0,0,,,,,,,,,
2020-03-25,0,0,0,0,0,0,,,,,,,,,
2020-03-26,0,0,0,0,0,0,,,,,,,,,
2020-03-27,1,0,0,0,0,0,,,,,,,,,
2020-03-28,1,0,0,0,0,0,,,,,,,,,
2020-03-29,2,0,0,0,0,0,,,,,,,,,
2020-03-30,2,0,0,0,0,0,,,,,,,,,
2020-03-31,2,0,0,0,0,0,,,,,,,,,
2020-04-01,2,0,0,0,0,0,,,,,,,,,
2020-04-02,2,0,0,0,0,0,0,0,,,,,,,
2020-04-03,2,0,0,0,0,0,,0,0,,,,,,
2020-04-04,2,1,0,0,0,0,,0,0,,,,,,
2020-04-05,3,1,0,0,0,0,,0,0,,,,,,
2020-04-06,3,1,0,0,0,0,,0,0,0,,,,,
2020-04-07,3,1,0,0,0,0,,0,0,0,0,,,,
2020-04-08,4,1,0,0,0,0,0,0,0,0,0,,,,
2020-04-09,4,1,0,0,0,0,,0,0,0,0,,,,
2020-04-10,4,1,0,0,0,0,,0,0,0,0,,,,
2020-04-11,4,2,0,0,0,0,,0,0,0,0,0,,,
2020-04-12,4,2,0,0,0,0,,0,0,0,0,0,,,
2020-04-13,4,2,0,0,0,0,,0,0,0,0,0,,,
2020-04-14,4,2,0,0,0,1,,0,0,0,0,0,,,
2020-04-15,4,2,0,0,0,1,,0,0,0,0,0,0,,
2020-04-16,4,2,0,0,0,1,,0,0,0,0,0,0,0,
2020-04-17,4,2,0,0,0,1,,0,0,0,0,0,0,0,
2020-04-18,4,2,0,0,0,1,,0,0,0,0,0,0,0,
2020-04-19,4,2,0,0,0,1,,0,0,0,0,0,0,0,
2020-04-20,4,2,0,0,0,1,,0,0,0,0,0,0,0,
2020-04-21,4,2,0,0,0,1,,0,0,0,0,0,0,0,
2020-04-22,4,2,0,0,0,1,,0,0,0,0,0,0,0,
2020-04-23,4,2,0,0,0,1,,0,0,0,0,0,0,0,
2020-04-24,4,2,0,0,0,1,,0,0,0,0,0,0,0,
2020-04-25,4,2,0,0,0,1,,0,0,0,0,0,0,0,
2020-04-26,4,2,0,0,0,1,,0,0,0,0,0,0,0,0
2020-04-27,4,2,0,0,0,1,,0,0,0,0,0,0,0,0
2020-04-28,4,2,0,0,0,1,,0,0,0,0,0,0,0,0
2020-04-29,4,2,0,0,0,1,,0,0,0,0,0,0,0,0
2020-04-30,4,2,0,0,0,1,,0,0,0,0,0,0,0,0
2020-05-01,4,2,0,0,0,1,,0,0,0,0,0,0,0,0
2020-05-02,4,2,0,0,0,1,,0,0,0,0,0,0,0,0
2020-05-03,4,2,0,0,0,1,,0,0,0,0,0,0,0,0
2020-05-04,4,2,0,0,0,1,,0,0,0,0,0,0,0,0
2020-05-05,4,2,0,0,0,1,,0,0,0,0,0,0,0,0
2020-05-06,4,2,0,1,0,1,,0,0,0,0,0,0,0,0
