,Jefferson,Pulaski,Garland,Saline,Cleburne,Cleveland,Desha,Lincoln,Bradley,Faulkner,Washington,Benton,Boone,Clark,Craighead,Crittenden,Grant,Greene,Independence,Poinsett,Polk,Pope,Searcy,Sebastian,Sevier,Van Buren,Unknown,Columbia,Conway,Crawford,Cross,Hot Spring,Lawrence,Pike,Stone,Union,White,Woodruff,Drew,Chicot,Howard,Lonoke,Randolph,Baxter,Johnson,Arkansas,Ashley,Hempstead,Nevada,Perry,Newton,St. Francis,Miller,Scott,Carroll,Lee,Mississippi,Monroe,Ouachita,Sharp,Lafayette,Prairie,Dallas,Phillips,Yell,Clay,Franklin,Izard,Logan,Madison,Marion,Jackson,Fulton,Montgomery
2020-03-11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-12,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-13,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-14,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-15,5,8,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-16,5,10,2,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-17,5,10,2,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-18,10,13,2,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-19,18,18,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-20,19,23,6,1,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-21,19,28,6,1,22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-22,20,52,9,1,25,1,1,1,1,7,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-23,20,54,9,1,25,1,1,1,1,7,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-24,22,64,11,4,34,3,2,3,4,17,6,3,1,6,4,3,3,3,3,3,2,2,2,1,1,7,61,1,1,1,1,1,1,1,2,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-25,22,79,18,4,41,4,2,4,4,23,10,18,1,13,4,7,3,3,3,3,2,3,2,1,1,10,61,1,2,1,1,1,1,2,3,2,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-26,23,83,19,4,46,4,2,5,4,24,12,23,1,15,4,7,3,3,3,3,2,3,4,3,1,13,61,1,2,1,1,1,2,2,4,2,6,1,2,1,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-27,23,89,20,4,49,4,2,6,4,28,13,24,1,17,4,12,3,3,3,3,2,3,4,3,1,17,61,1,2,1,1,2,3,2,4,2,6,1,2,1,3,4,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-28,25,92,20,4,50,5,2,6,4,29,14,29,1,18,4,15,3,3,3,3,2,3,4,4,1,17,61,1,2,1,2,1,1,3,4,5,6,1,2,1,3,4,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-29,26,94,26,6,56,5,2,6,4,30,15,33,1,18,6,17,3,3,3,3,2,4,4,5,2,18,61,2,2,2,2,3,1,3,4,6,6,1,2,2,3,4,2,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-30,33,99,31,8,58,5,2,6,4,36,18,38,1,24,8,17,3,4,3,5,2,5,4,6,2,20,61,2,2,2,2,4,1,2,5,8,9,1,2,2,3,4,2,2,3,2,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
2020-03-31,40,103,31,11,61,5,2,6,4,36,22,38,2,24,10,29,3,4,4,5,4,6,4,8,2,19,61,2,2,3,2,4,1,2,5,8,11,1,2,2,4,6,3,3,3,2,1,1,1,2,1,2,1,1,,,,,,,,,,,,,,,,,,,,
2020-04-01,49,113,33,14,63,5,2,6,4,36,22,40,3,26,13,31,3,4,4,5,5,6,4,8,3,20,61,2,3,3,2,4,2,2,5,9,15,1,3,2,4,6,3,3,6,2,2,1,1,2,1,2,7,1,1,1,,,,,,,,,,,,,,,,,,
2020-04-02,49,126,37,18,64,4,2,6,4,38,24,42,3,26,13,32,3,4,4,5,5,8,4,8,3,20,10,2,3,3,3,5,3,2,5,10,22,1,3,2,4,13,3,3,7,1,3,2,1,2,1,2,8,1,1,1,1,1,1,1,,,,,,,,,,,,,,
2020-04-03,53,137,40,21,65,4,4,6,4,40,25,41,3,27,16,43,3,4,4,5,5,8,4,8,3,20,13,3,3,3,5,5,3,2,5,10,23,1,3,2,4,16,3,3,7,1,4,3,1,2,1,2,8,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,
2020-04-04,53,139,40,21,65,4,4,6,4,40,25,40,3,27,17,44,3,4,4,5,5,8,5,8,3,20,12,3,3,3,5,5,3,2,5,10,23,1,3,2,4,15,3,3,7,1,4,3,1,2,1,3,8,1,1,1,2,1,1,1,1,1,1,,,,,,,,,,,
2020-04-05,62,161,41,29,65,7,5,7,1,47,29,42,3,27,20,53,4,4,5,5,5,13,5,8,6,21,14,3,4,3,5,7,3,2,5,12,25,1,5,3,5,17,3,3,8,1,4,3,1,2,1,11,8,1,1,2,4,1,2,1,2,2,1,1,1,,,,,,,,,
2020-04-06,68,171,46,33,65,7,5,10,1,52,29,42,3,27,22,58,4,4,5,6,5,17,6,8,6,21,11,3,4,3,5,7,3,2,5,13,27,1,5,4,5,23,4,3,11,1,5,3,1,2,1,17,13,1,1,2,4,1,3,1,2,2,1,1,1,1,1,1,1,,,,,
2020-04-07,78,179,51,33,67,7,5,11,5,55,30,44,4,27,23,61,5,6,5,6,6,20,6,9,6,22,11,3,4,3,5,7,4,2,5,13,27,1,5,4,5,23,6,5,11,1,5,3,1,2,1,28,16,1,1,2,4,1,4,1,2,2,1,1,1,1,1,1,1,,,,,
2020-04-08,85,201,58,30,70,8,5,11,5,55,36,46,3,27,27,65,7,6,5,6,6,21,6,9,6,25,13,3,4,3,6,7,8,2,7,15,27,1,5,4,5,24,6,4,11,1,8,3,1,2,1,31,17,1,2,2,4,1,5,2,2,2,1,1,1,1,1,1,1,1,,,,
2020-04-09,91,221,66,31,69,8,5,10,6,56,37,47,3,27,28,77,7,6,5,6,6,23,6,9,6,26,14,3,4,3,6,8,9,2,7,16,27,1,5,4,6,26,7,4,11,2,9,3,1,2,1,31,20,1,2,2,6,1,5,2,2,2,1,2,1,1,1,1,1,1,,,,
