,Douglas,Jefferson,Denver,Eagle,El Paso,Arapahoe,Larimer,Gunnison,Pitkin,Adams,Clear Creek,Pueblo,Routt,Summit,Weld,Boulder,Mesa,Garfield,Yuma,Crowley,Grand,Morgan,Broomfield,Park,San Miguel,Chaffee,Elbert,Hinsdale,Montrose,Unknown,La Plata,Logan,Teller,Delta,Fremont,Huerfano,Otero,Kit Carson,Rio Grande,Washington,Alamosa,Costilla,Lincoln,Baca,Moffat,Mineral,Montezuma,Archuleta,Phillips,Lake,Saguache,Custer,Las Animas,Rio Blanco,Ouray,Gilpin,Prowers,San Juan
2020-03-05,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-06,3,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-07,3,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-08,3,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-09,3,1,3,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-10,3,2,4,3,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-11,3,4,6,4,1,3,1,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-12,3,5,9,11,1,3,1,4,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-13,4,7,17,16,2,7,1,5,10,3,1,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-14,4,9,23,20,3,10,1,7,11,6,1,1,1,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-15,8,12,28,24,4,15,1,9,11,6,1,1,1,2,4,7,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
