,Fayette,Harrison,Jefferson,Montgomery,Bourbon,Nelson,Clark,Lyon,Franklin,Kenton,Warren,Christian,Daviess,Henderson,Pulaski,Scott,Unknown,Calloway,Anderson,Madison,Spencer,Allen,Breathitt,Hardin,Jessamine,Oldham,Logan,Martin,McCracken,Menifee,Muhlenberg,Simpson,Grayson,Laurel,McCreary,Wayne,Boone,Hopkins,Mason,Mercer,Union,Webster,Bullitt,Campbell,Larue,Woodford,Boyle,Bracken,Breckinridge,Butler,Carroll,Floyd,Grant,Nicholas,Shelby,Washington,Boyd,Lewis,Taylor,Marion,Marshall,Barren,Edmonson,Graves,Hancock,Henry,Lawrence,Powell,Rockcastle,Russell,Bath,Crittenden,Cumberland,Lincoln,Meade,Pendleton,Caldwell,Clinton,Ohio,Perry,Adair,Carter,Greenup,Johnson,Leslie,Letcher,McLean,Monroe,Pike,Green,Hart,Todd,Ballard,Jackson,Whitley,Knox,Trimble,Fleming,Gallatin,Knott,Rowan,Morgan,Owsley,Trigg,Casey,Garrard,Livingston,Clay,Fulton,Hickman,Carlisle,Metcalfe,Owen
2020-03-06,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-07,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-08,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-09,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-10,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-11,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-12,4,4,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-13,4,4,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-14,5,6,4,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-15,5,6,6,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
