,Oakland,Wayne,Ingham,Kent,Montcalm,St. Clair,Washtenaw,Bay,Charlevoix,Leelanau,Macomb,Monroe,Ottawa,Jackson,Otsego,Clinton,Eaton,Genesee,Livingston,Midland,Allegan,Barry,Berrien,Calhoun,Clare,Saginaw,Tuscola,Wexford,Emmet,Gladwin,Grand Traverse,Roscommon,Chippewa,Kalamazoo,Muskegon,Newaygo,Hillsdale,Isabella,Kalkaska,Lapeer,Manistee,Iosco,Lenawee,Marquette,Sanilac,Van Buren,Gogebic,Ionia,Mecosta,Missaukee,Oceana,Ogemaw,Shiawassee,Unknown,Cass,Crawford,Gratiot,Huron,Osceola,Cheboygan,Antrim,Delta,Houghton,St. Joseph,Arenac,Branch,Oscoda,Mackinac,Dickinson,Luce,Presque Isle,Mason,Schoolcraft,Menominee,Alpena,Lake,Montmorency,Alcona,Baraga,Benzie
2020-03-10,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-11,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-12,3,1,1,3,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-13,6,6,1,3,1,1,3,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-14,9,8,1,3,1,1,4,1,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-15,14,13,1,5,1,2,7,1,1,1,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-16,14,13,1,5,1,2,7,1,1,1,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-17,16,17,2,5,1,2,7,1,1,1,8,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-18,23,23,2,5,1,2,7,1,1,1,10,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-19,105,119,7,12,1,4,14,1,1,1,55,3,1,1,1,1,2,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-20,184,216,7,12,1,7,16,1,1,1,86,3,1,1,1,1,2,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-21,229,349,11,21,1,7,29,1,1,1,101,3,2,1,1,2,2,7,6,3,1,1,2,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-22,277,477,11,21,1,7,34,1,2,1,140,6,6,1,1,2,2,14,8,5,1,1,3,2,1,2,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
