,Gallatin,Lewis and Clark,Silver Bow,Yellowstone,Missoula,Broadwater,Flathead,Madison,Roosevelt,Cascade,Ravalli,Jefferson,Hill,Lincoln,Meagher,Toole,Lake,Park,Deer Lodge,Liberty,Musselshell,Unknown,Carbon,Glacier,Beaverhead,Richland,Stillwater,Big Horn,Golden Valley,Pondera,Wheatland,Rosebud,Custer,Fergus,Valley,Dawson,Treasure,Granite,Teton,Sheridan,Fallon,Garfield,Sanders,Wibaux,Sweet Grass,Blaine,McCone,Chouteau,Judith Basin,Powder River,Daniels,Powell,Prairie,Phillips,Mineral
2020-03-13,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-14,1,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-15,1,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-16,1,1,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-17,1,1,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-18,2,1,1,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-19,2,3,1,5,4,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-20,2,3,1,5,4,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-21,7,3,1,5,4,1,2,1,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-22,10,3,2,6,4,1,2,1,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-23,16,3,2,7,6,1,4,1,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-24,19,3,3,8,6,1,4,1,1,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-25,24,3,4,12,6,2,5,2,1,3,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-26,38,5,5,14,7,2,5,2,1,5,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-27,42,7,7,23,8,2,6,3,1,7,1,2,1,3,1,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-28,57,10,8,26,9,3,6,3,1,7,1,2,1,3,1,5,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-29,62,10,9,26,11,3,8,4,1,7,1,2,1,4,1,5,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-30,69,11,9,28,12,3,9,4,1,7,1,2,1,4,1,6,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-31,74,12,10,31,14,3,11,6,1,9,1,2,1,5,1,6,3,3,3,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-01,79,14,11,32,15,3,17,6,1,9,1,2,1,6,1,6,4,5,3,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-02,93,13,11,35,17,3,18,6,1,11,1,2,1,6,1,6,4,6,3,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-03,101,13,11,38,17,4,20,6,1,11,1,2,1,6,1,12,4,6,3,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-04,109,14,11,38,19,4,23,6,1,11,2,2,1,6,1,15,4,6,3,1,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-05,115,14,11,40,21,4,25,9,1,11,2,2,1,7,1,16,4,6,3,1,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-06,118,15,11,47,24,4,31,9,1,11,2,2,1,7,1,15,5,6,3,1,1,,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-07,118,15,11,47,24,4,31,9,1,11,2,2,1,7,1,15,5,6,3,1,1,,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-08,119,16,11,48,25,4,31,9,2,11,3,2,1,7,1,17,5,7,3,1,1,,3,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-09,128,16,11,52,26,4,34,8,2,12,3,2,1,7,1,18,6,7,4,1,1,,3,3,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-10,134,16,11,55,26,4,34,8,2,12,3,2,1,7,1,18,5,7,3,1,1,,6,3,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-11,135,16,11,57,29,4,34,8,3,13,3,2,1,7,1,20,5,7,3,1,1,,6,3,1,3,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-12,138,16,11,58,30,4,34,8,3,13,3,2,1,7,1,25,5,7,3,1,1,,6,3,1,3,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-13,138,16,11,59,30,4,36,8,3,13,5,2,1,7,1,26,5,7,3,1,1,,6,4,1,3,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-14,138,16,11,63,30,4,36,8,3,13,5,2,1,7,1,26,5,7,3,1,1,,6,4,1,3,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-15,139,16,11,64,30,4,37,8,4,13,5,2,1,7,1,26,5,7,3,1,1,,6,4,1,3,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-16,141,16,11,67,33,4,37,8,4,13,5,2,1,7,1,26,5,7,3,1,3,,6,4,1,3,1,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-17,142,16,11,67,34,4,37,8,6,13,5,2,1,7,1,29,5,7,3,1,1,,6,4,1,3,1,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-18,142,16,11,70,35,4,37,8,6,13,5,2,1,7,1,29,5,7,3,1,1,,6,4,1,3,1,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-19,143,16,11,72,38,4,37,8,6,13,5,2,1,7,1,29,5,7,3,1,1,,6,4,1,3,1,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-20,143,16,11,72,38,4,37,8,6,13,5,2,1,7,1,29,5,7,3,1,1,,6,4,1,3,1,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-21,145,16,11,73,38,4,37,8,7,13,5,2,1,7,1,29,5,7,3,1,1,,6,4,1,3,1,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-22,145,16,11,74,39,4,37,8,7,13,5,2,1,7,1,29,5,7,3,1,1,,6,4,1,3,1,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-23,146,16,11,76,39,4,37,8,7,13,5,2,1,7,1,29,5,7,3,1,1,,6,4,1,3,1,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-24,146,16,11,77,39,4,37,8,7,13,5,2,1,7,1,29,5,7,3,1,1,,6,4,1,3,1,3,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-25,146,16,11,77,39,4,37,8,7,14,5,2,1,7,1,29,5,7,3,1,1,,6,4,1,3,1,3,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-26,146,16,11,78,39,4,37,8,7,14,5,2,1,7,1,29,5,7,3,1,1,,6,6,1,3,1,3,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-27,146,16,11,79,39,4,37,8,7,14,5,2,1,7,1,29,5,7,3,1,1,,6,6,1,3,1,3,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-28,146,16,11,80,39,4,37,8,7,15,5,2,1,7,1,29,5,7,3,1,1,,6,6,1,3,1,3,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-29,146,16,11,80,39,4,37,8,7,15,5,2,1,7,1,29,5,7,3,1,1,,6,6,1,3,1,3,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-30,146,16,11,80,39,4,37,8,7,15,5,2,1,7,1,29,5,8,3,1,1,,6,6,1,3,1,3,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-01,146,16,11,80,39,4,37,8,7,15,5,2,1,7,1,29,5,8,3,1,1,,6,6,1,3,1,3,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-02,146,16,11,82,39,4,37,8,7,15,5,2,1,7,1,29,5,8,3,1,1,,6,6,1,3,1,3,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-03,146,16,11,82,39,4,37,8,7,15,5,2,1,7,1,29,5,8,3,1,1,,6,6,1,3,1,3,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-04,146,16,11,83,39,4,37,8,7,16,5,2,1,7,1,29,5,8,3,1,1,,6,6,1,3,1,3,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-05,146,16,11,83,39,4,37,8,7,16,5,2,1,7,1,29,5,8,3,1,1,,6,6,1,3,1,3,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,
