,Clark,Washoe,Carson City,Elko,Unknown,Nye,Douglas,Lyon,Humboldt,White Pine,Churchill,Mineral,Lander
2020-03-05,0,0,,,,,,,,,,,
2020-03-06,0,0,,,,,,,,,,,
2020-03-07,0,0,,,,,,,,,,,
2020-03-08,0,0,,,,,,,,,,,
2020-03-09,0,0,,,,,,,,,,,
2020-03-10,0,0,,,,,,,,,,,
2020-03-11,0,0,,,,,,,,,,,
2020-03-12,0,0,0,,,,,,,,,,
2020-03-13,0,0,0,,,,,,,,,,
2020-03-14,0,0,0,,,,,,,,,,
2020-03-15,0,0,0,,,,,,,,,,
2020-03-16,1,0,0,,,,,,,,,,
2020-03-17,1,0,0,,,,,,,,,,
2020-03-18,1,0,0,,,,,,,,,,
2020-03-19,1,0,0,0,0,,,,,,,,
2020-03-20,2,0,0,0,0,0,,,,,,,
2020-03-21,2,0,0,0,0,0,,,,,,,
2020-03-22,2,0,0,0,0,0,,,,,,,
2020-03-23,4,0,0,0,0,0,0,,,,,,
2020-03-24,6,0,0,0,0,0,0,,,,,,
2020-03-25,6,0,0,0,4,0,0,0,,,,,
2020-03-26,10,0,0,0,0,0,0,0,,,,,
2020-03-27,10,0,0,0,0,0,0,0,,,,,
2020-03-28,14,0,0,0,0,0,0,0,0,,,,
2020-03-29,14,1,0,0,0,0,0,0,0,,,,
2020-03-30,15,3,0,0,0,0,0,0,0,,,,
2020-03-31,23,3,0,0,0,0,0,0,0,,,,
2020-04-01,28,4,0,0,0,0,0,0,0,,,,
2020-04-02,34,4,0,0,0,0,0,0,0,,,,
2020-04-03,39,4,0,0,,0,0,0,0,,,,
2020-04-04,41,4,0,1,0,0,0,0,0,,,,
2020-04-05,41,4,0,1,0,0,0,0,0,,,,
2020-04-06,41,4,0,1,12,0,0,0,0,,,,
2020-04-07,54,5,0,1,,0,0,0,0,,,,
2020-04-08,65,8,0,1,6,0,0,0,0,,,,
2020-04-09,71,10,0,1,0,0,0,0,0,0,,,
2020-04-10,75,10,0,1,,0,0,0,0,0,,,
2020-04-11,96,11,0,1,3,0,0,0,0,0,,,
2020-04-12,100,12,0,1,,0,0,0,0,0,,,
2020-04-13,101,12,0,1,,0,0,0,0,0,0,,
2020-04-14,106,13,0,1,9,0,0,0,1,0,0,,
2020-04-15,115,14,0,1,6,0,0,0,1,0,0,,
2020-04-16,121,15,0,1,4,0,0,0,1,0,0,,
2020-04-17,124,16,0,1,0,0,0,0,1,0,0,,
2020-04-18,133,16,0,1,3,0,0,0,2,0,0,0,
2020-04-19,137,18,0,1,,0,0,0,2,0,0,0,
2020-04-20,137,18,0,1,4,0,0,0,2,0,1,0,
2020-04-21,141,18,0,1,0,0,0,0,2,0,1,0,0
2020-04-22,150,21,1,1,11,0,0,0,2,0,1,0,0
2020-04-23,163,22,1,1,5,0,0,0,2,0,1,0,0
2020-04-24,168,25,1,1,5,0,0,0,2,0,1,0,0
2020-04-25,174,27,1,1,0,0,0,0,2,0,1,0,0
2020-04-26,174,27,1,1,,0,0,0,2,0,1,0,0
2020-04-27,174,28,1,1,12,0,0,0,2,0,1,0,0
2020-04-28,186,29,1,1,5,0,0,0,2,0,1,0,0
2020-04-29,196,30,1,1,6,0,0,0,2,0,1,0,0
2020-04-30,202,30,1,1,6,0,0,0,2,0,1,0,0
2020-05-01,206,33,1,1,10,0,0,0,2,0,1,0,0
2020-05-02,215,33,1,1,4,0,0,0,2,0,1,0,0
