,Bernalillo,Santa Fe,Socorro,Sandoval,Taos,San Miguel,Doña Ana,McKinley,Lea,San Juan,Chaves,Cibola,Curry,Eddy,Rio Arriba,Roosevelt,Valencia,Torrance,Catron,Grant,Otero,Unknown,Lincoln,Los Alamos,Colfax,Luna,Quay,Guadalupe,Harding,Union,Sierra,Hidalgo,Mora,De Baca
2020-03-11,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-12,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-13,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-14,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-15,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-16,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-17,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-18,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-19,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-20,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-21,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-22,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-23,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
2020-03-24,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
2020-03-25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,
2020-03-26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,
2020-03-27,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
2020-03-28,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
2020-03-29,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
2020-03-30,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,
2020-03-31,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,
2020-04-01,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,
2020-04-02,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,
2020-04-03,7,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,
2020-04-04,7,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,,,
2020-04-05,7,0,0,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,,,
2020-04-06,7,0,0,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,,,
2020-04-07,8,0,0,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,,,
2020-04-08,11,0,0,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,,,
2020-04-09,12,0,0,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,,,,,,,,,
2020-04-10,13,0,0,3,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,
2020-04-11,13,0,0,3,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,,,,,,,
2020-04-12,16,0,0,3,0,0,1,2,0,2,0,1,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,,,,,,,
2020-04-13,16,0,0,3,0,0,1,2,0,7,0,1,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,,,,,,,
2020-04-14,17,0,0,4,0,0,1,2,0,10,0,1,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,,,,,,,
2020-04-15,17,0,0,4,0,0,1,2,0,10,0,1,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,,,,,,,
2020-04-16,18,0,0,5,0,0,1,4,0,13,0,2,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,,,,,,,
2020-04-17,22,0,1,6,0,0,1,4,0,14,0,2,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,,,,,,,
2020-04-18,23,0,1,6,0,0,1,5,0,14,0,2,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,
2020-04-19,24,0,1,6,0,0,1,5,0,15,0,2,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,
2020-04-20,24,0,1,6,0,0,1,5,0,17,0,2,0,1,0,0,0,0,0,0,0,,0,0,0,0,1,0,,,,,,
2020-04-21,29,0,1,6,0,0,1,6,0,17,1,2,0,1,0,0,0,0,0,0,0,,0,0,0,0,1,0,,,,,,
2020-04-22,29,0,1,6,0,0,1,7,0,22,1,2,0,1,0,0,0,0,0,0,0,,0,0,0,0,1,0,,,,,,
2020-04-23,31,0,1,8,0,0,1,8,0,24,1,2,0,1,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,,,,,
2020-04-24,33,0,1,8,0,0,1,9,0,27,1,2,0,1,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,,,,,
2020-04-25,33,0,1,10,0,0,1,9,0,33,1,2,0,1,0,0,0,0,1,0,0,,0,0,0,0,1,0,0,0,,,,
2020-04-26,33,0,1,11,0,0,1,12,0,35,1,2,0,1,0,0,0,0,1,0,0,,0,0,0,0,1,0,0,0,,,,
2020-04-27,33,0,1,11,0,0,1,12,0,35,1,2,0,1,0,0,0,0,1,0,0,5,0,0,0,0,1,0,0,0,,,,
2020-04-28,35,0,1,11,0,0,1,15,0,36,1,2,0,1,0,0,0,0,1,0,0,5,0,0,0,0,1,0,0,0,,,,
2020-04-29,35,0,2,13,0,0,1,16,0,38,1,3,0,1,0,0,0,0,1,0,0,,0,0,0,0,1,0,0,0,0,,,
2020-04-30,35,0,2,13,0,0,1,19,0,45,1,3,0,1,0,0,0,0,1,0,0,,0,0,0,1,1,0,0,0,0,,,
2020-05-01,36,0,2,15,0,0,1,20,0,49,1,3,0,1,0,0,0,0,1,0,0,,0,0,0,1,1,0,0,0,0,,,
2020-05-02,38,0,2,17,0,0,2,20,0,51,1,3,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,,,
