,Ward,Burleigh,Cass,Morton,Pierce,Ramsey,Walsh,Dunn,Foster,Stark,McHenry,McIntosh,Barnes,Divide,McLean,Mountrail,Sioux,Grand Forks,Oliver,Grant,McKenzie,Williams,Burke,Eddy,Slope,Emmons,Bowman,Stutsman,Richland,Sargent,Unknown,Rolette,Nelson,Wells,Pembina,Ransom,Renville,Mercer,Benson,Traill
2020-03-11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-17,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-18,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-19,3,11,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-20,3,13,1,8,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-21,3,14,1,8,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-22,3,15,1,8,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-23,3,16,1,8,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-24,3,18,3,8,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-25,3,18,6,8,2,3,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-26,4,23,8,8,2,3,1,1,1,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-27,4,25,11,11,2,3,1,1,1,7,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-28,7,28,18,13,2,3,1,1,1,9,1,1,2,1,2,2,1,,,,,,,,,,,,,,,,,,,,,,,
2020-03-29,7,28,20,14,2,3,1,1,1,10,1,1,2,1,2,2,1,,,,,,,,,,,,,,,,,,,,,,,
2020-03-30,9,29,23,14,2,3,1,1,1,11,1,1,2,1,2,4,1,2,1,,,,,,,,,,,,,,,,,,,,,
2020-03-31,9,30,31,14,2,3,1,1,1,12,1,1,2,1,2,5,1,3,1,1,1,3,,,,,,,,,,,,,,,,,,
2020-04-01,12,32,37,14,2,3,1,1,1,16,1,1,2,1,2,6,1,5,1,1,2,3,2,,,,,,,,,,,,,,,,,
2020-04-02,13,32,43,14,2,3,1,1,1,18,1,1,2,1,2,8,1,5,1,1,2,4,2,,,,,,,,,,,,,,,,,
2020-04-03,14,32,46,16,2,3,1,1,1,19,1,1,2,1,2,11,1,6,1,1,2,5,2,1,1,,,,,,,,,,,,,,,
2020-04-04,14,34,48,16,2,3,1,1,1,22,1,1,2,1,2,13,1,10,1,1,2,5,2,1,1,,,,,,,,,,,,,,,
